Antecedent,Consequent,Lift
"Bell Peppers,Greek Yogurt",sunflower oil,3.0382
"Spinach,cheese",Butter,3.0093
"Bell Peppers,Fresh Fish Fillets",sunflower oil,2.8935
"Butter,Spinach",cheese,2.555
"Greek Yogurt,Grapes",sunflower oil,2.5077
"Full-Cream Milk,Sponges/Scrubbers",Carrots,2.5
"Full-Cream Milk,Prawns",Eggs,2.4741
"Full-Cream Milk,Apples",Onions,2.4704
"Onions,Apples",Full-Cream Milk,2.4594
"Lemons,sunflower oil",Bell Peppers,2.4336
"Fresh Fish Fillets,cheese",Butter,2.4155
"sunflower oil,Grapes",Greek Yogurt,2.3593
"Broccoli,Butter",Fresh Fish Fillets,2.3585
"Cucumber,Eggs",Full-Cream Milk,2.3364
"All-Purpose Surface Cleaner,Apples",Spinach,2.3116
"Garlic,Grapes",Spinach,2.3116
"Bell Peppers,sunflower oil",Greek Yogurt,2.3026
"All-Purpose Surface Cleaner,Grapes",lamb,2.2928
"Butter,Bananas",Fresh Fish Fillets,2.2642
"Sponges/Scrubbers,Carrots",Full-Cream Milk,2.2252
"Broccoli,Fresh Fish Fillets",Butter,2.2222
"Potatoes,Apples",Butter,2.2142
"Spinach,Garlic",Cucumber,2.2142
"Garlic,Grapes",Cucumber,2.2046
"Broccoli,Sponges/Scrubbers",All-Purpose Surface Cleaner,2.1959
"Butter,Carrots",Chicken Breast,2.1645
"All-Purpose Surface Cleaner,Grapes",Sponges/Scrubbers,2.1575
"Ginger,Bell Peppers",Spinach,2.1575
"Butter,Onions",Fresh Fish Fillets,2.1441
"Full-Cream Milk,Cucumber",Eggs,2.1368
"Cucumber,Prawns",Spinach,2.1359
"Spinach,Cucumber",Garlic,2.1219
"Full-Cream Milk,Carrots",Sponges/Scrubbers,2.1106
"Butter,cheese",Spinach,2.1036
"Full-Cream Milk,Onions",Apples,2.0903
"All-Purpose Surface Cleaner,Spinach",Apples,2.0903
"Chicken Breast,Carrots",Butter,2.0576
"Tomatoes,Fresh Fish Fillets",Butter,2.0576
"cheese,Lemons",Laundry Detergent,2.0509
"Spinach,Prawns",Cucumber,2.037
"Butter,Apples",Potatoes,2.0325
"Dishwashing Liquid,Prawns",Bell Peppers,2.028
"Broccoli,Cucumber",Cottage cheese,2.0265
"Carrots,Eggs",Spinach,2.0227
"Broccoli,All-Purpose Surface Cleaner",Sponges/Scrubbers,2.0227
"Tomatoes,Spinach",Butter,2.0129
"Fresh Fish Fillets,Onions",Butter,2.0129
"Potatoes,Prawns",Bell Peppers,2.0113
"Butter,Laundry Detergent",Tomatoes,2.0113
"Spinach,Eggs",Carrots,2.0
"Greek Yogurt,sunflower oil",Bell Peppers,1.9983
"cheese,Laundry Detergent",Lemons,1.9944
"Potatoes,sunflower oil",Ginger,1.9928
"Bananas,Fresh Fish Fillets",Butter,1.9841
"Cottage cheese,Prawns",Bell Peppers,1.9666
"Carrots,Cucumber",Fresh Fish Fillets,1.9654
"Tomatoes,Chicken Breast",All-Purpose Surface Cleaner,1.9425
"Carrots,Grapes",lamb,1.94
"Butter,Chicken Breast",Carrots,1.9355
"Bell Peppers,Dishwashing Liquid",sunflower oil,1.929
"Fresh Fish Fillets,Eggs",Butter,1.929
"Ginger,Bell Peppers",sunflower oil,1.929
"Bell Peppers,Grapes",sunflower oil,1.929
"Fresh Fish Fillets,Carrots",Cucumber,1.929
"Cottage cheese,Dishwashing Liquid",sunflower oil,1.929
"Sponges/Scrubbers,All-Purpose Surface Cleaner",Grapes,1.92
"Lemons,Potatoes",Butter,1.9157
"Carrots,lamb",Grapes,1.913
"sunflower oil,Oranges",Grapes,1.9048
"Tomatoes,Potatoes",Eggs,1.8993
"Sponges/Scrubbers,Grapes",All-Purpose Surface Cleaner,1.8939
"Tomatoes,Butter",Fresh Fish Fillets,1.8868
"Tomatoes,Oranges",Fresh Fish Fillets,1.8868
