antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'yogurt', 'whole milk'})",frozenset({'sausage'}),0.011160863463209249,0.06034886052262247,0.0014702933903628951,0.1317365269461078,2.1829165589087607,1.0,0.0007967479979096469,1.082218898570497,0.5480135908968025,0.02099236641221374,0.07597252152877744,0.07804988030583351
frozenset({'sausage'}),"frozenset({'yogurt', 'whole milk'})",0.06034886052262247,0.011160863463209249,0.0014702933903628951,0.024363233665559245,2.1829165589087607,1.0,0.0007967479979096469,1.0135320548158027,0.5767005043320833,0.02099236641221374,0.01335138316692099,0.07804988030583351
"frozenset({'sausage', 'whole milk'})",frozenset({'yogurt'}),0.008955423377664907,0.08587850030074183,0.0014702933903628951,0.16417910447761194,1.9117602648237413,1.0,0.000701215061130829,1.0936810799973267,0.48123149357217726,0.015748031496062992,0.08565667058769612,0.09064986352285266
frozenset({'yogurt'}),"frozenset({'sausage', 'whole milk'})",0.08587850030074183,0.008955423377664907,0.0014702933903628951,0.017120622568093383,1.911760264823741,1.0,0.000701215061130829,1.0083074275215367,0.5217269935796036,0.015748031496062992,0.008238982769329104,0.09064986352285266
frozenset({'specialty chocolate'}),frozenset({'citrus fruit'}),0.015972732740760543,0.05313105660629553,0.001403461872619127,0.08786610878661087,1.6537617431120233,1.0,0.0005548137052125488,1.0380810893169512,0.4017347770404005,0.020730503455083905,0.036684118137638236,0.057140601563116754
frozenset({'citrus fruit'}),frozenset({'specialty chocolate'}),0.05313105660629553,0.015972732740760543,0.001403461872619127,0.02641509433962264,1.6537617431120233,1.0,0.0005548137052125488,1.0107256814872034,0.41750020166169227,0.020730503455083905,0.010611862035029444,0.057140601563116754
"frozenset({'yogurt', 'sausage'})",frozenset({'whole milk'}),0.005747510525964045,0.15792287642852368,0.0014702933903628951,0.2558139534883721,1.6198663504217148,1.0,0.0005626299957994361,1.1315411347991713,0.38487720520388397,0.009064688916357644,0.11624953857511999,0.13256207619403793
frozenset({'whole milk'}),"frozenset({'yogurt', 'sausage'})",0.15792287642852368,0.005747510525964045,0.0014702933903628951,0.009310198899703767,1.6198663504217146,1.0,0.0005626299957994361,1.0035961694263764,0.45443001443001446,0.009064688916357644,0.0035832833324102613,0.13256207619403793
frozenset({'tropical fruit'}),frozenset({'flour'}),0.0677671589921807,0.009757401590590123,0.0010693042839002875,0.01577909270216963,1.6171408500175628,1.0,0.00040807289896020976,1.0061182312496408,0.4093662628145388,0.01398601398601399,0.00608102612556956,0.06268406689903003
frozenset({'flour'}),frozenset({'tropical fruit'}),0.009757401590590123,0.0677671589921807,0.0010693042839002875,0.10958904109589042,1.6171408500175626,1.0,0.00040807289896020976,1.0469691906703202,0.38538503070797075,0.01398601398601399,0.04486205619885356,0.06268406689903003
frozenset({'beverages'}),frozenset({'sausage'}),0.016574216400454454,0.06034886052262247,0.0015371249081066632,0.09274193548387098,1.5367636551995143,1.0,0.0005368898342838755,1.0357043670683983,0.3551684911876376,0.020390070921985814,0.03447351213692471,0.05910629443075055
frozenset({'sausage'}),frozenset({'beverages'}),0.06034886052262247,0.016574216400454454,0.0015371249081066632,0.02547065337763012,1.536763655199514,1.0,0.0005368898342838755,1.0091289574890792,0.3717143917372751,0.020390070921985814,0.009046373529696195,0.05910629443075055
frozenset({'sausage'}),"frozenset({'soda', 'whole milk'})",0.06034886052262247,0.011628684087415625,0.0010693042839002875,0.017718715393134,1.5237076921118624,1.0,0.00036752644984720253,1.0061998853089782,0.3657805832147938,0.015080113100848258,0.006161683577487595,0.054836369190819884
"frozenset({'soda', 'whole milk'})",frozenset({'sausage'}),0.011628684087415625,0.06034886052262247,0.0010693042839002875,0.09195402298850576,1.5237076921118622,1.0,0.00036752644984720253,1.0348056852472385,0.34775001690445606,0.015080113100848258,0.033634996157682194,0.054836369190819884
frozenset({'napkins'}),frozenset({'pastry'}),0.022121232373187194,0.0517275947336764,0.0017376194613379669,0.07854984894259819,1.5185289272972826,1.0,0.0005933413181282571,1.0291087414529612,0.3491924969508349,0.024096385542168672,0.02828538936698123,0.05607079010437403
frozenset({'pastry'}),frozenset({'napkins'}),0.0517275947336764,0.022121232373187194,0.0017376194613379669,0.03359173126614987,1.5185289272972826,1.0,0.0005933413181282571,1.0118692060737342,0.3600947646334918,0.024096385542168672,0.011729980517728306,0.05607079010437403
frozenset({'processed cheese'}),frozenset({'root vegetables'}),0.01015839069705273,0.06957160997126245,0.0010693042839002875,0.10526315789473686,1.5130188583851563,1.0,0.00036256868838923403,1.0398905535615302,0.3425494564850449,0.01359388275276126,0.03836033842687456,0.06031649729511099
frozenset({'root vegetables'}),frozenset({'processed cheese'}),0.06957160997126245,0.01015839069705273,0.0010693042839002875,0.015369836695485112,1.5130188583851563,1.0,0.00036256868838923403,1.0052927953993835,0.36442321505530817,0.01359388275276126,0.005264929206302325,0.06031649729511099
frozenset({'pip fruit'}),frozenset({'hard cheese'}),0.049054334023925686,0.01470293390362895,0.0010693042839002875,0.021798365122615806,1.4825860787713652,1.0,0.0003480616530599713,1.0072535466779058,0.34229390681003585,0.017057569296375266,0.007201311627870876,0.04726281892494427
frozenset({'hard cheese'}),frozenset({'pip fruit'}),0.01470293390362895,0.049054334023925686,0.0010693042839002875,0.07272727272727274,1.482586078771365,1.0,0.0003480616530599713,1.0255296397781195,0.33036017092857634,0.017057569296375266,0.02489410231345716,0.04726281892494427
frozenset({'yogurt'}),frozenset({'soft cheese'}),0.08587850030074183,0.010024727661565194,0.0012697988371315912,0.014785992217898832,1.4749520103761349,1.0,0.0004088902596330097,1.0048327211334034,0.3522637196881661,0.013418079096045197,0.004809478266145968,0.07072632944228274
frozenset({'soft cheese'}),frozenset({'yogurt'}),0.010024727661565194,0.08587850030074183,0.0012697988371315912,0.12666666666666665,1.4749520103761347,1.0,0.0004088902596330097,1.0467040072892269,0.3252726090525036,0.013418079096045197,0.044620071160501026,0.07072632944228274
frozenset({'curd'}),frozenset({'sausage'}),0.03368308494285905,0.06034886052262247,0.0029405867807257902,0.08730158730158731,1.446615338641917,1.0,0.0009078509855375443,1.0295308136882573,0.31949273494331937,0.032281731474688186,0.02868375894691685,0.06801402731635289
frozenset({'sausage'}),frozenset({'curd'}),0.06034886052262247,0.03368308494285905,0.0029405867807257902,0.04872646733111849,1.4466153386419167,1.0,0.0009078509855375443,1.0158139398097767,0.32855942066468385,0.032281731474688186,0.015567752311745349,0.06801402731635289
frozenset({'detergent'}),frozenset({'yogurt'}),0.008621265788946068,0.08587850030074183,0.0010693042839002875,0.12403100775193798,1.4442614544686756,1.0,0.00032892290725150737,1.043554632400038,0.3102795941755427,0.011444921316165953,0.041736801359281185,0.06824118480982114
frozenset({'yogurt'}),frozenset({'detergent'}),0.08587850030074183,0.008621265788946068,0.0010693042839002875,0.012451361867704281,1.4442614544686756,1.0,0.00032892290725150737,1.0038783872822727,0.3365029609592046,0.011444921316165953,0.0038634035072441114,0.06824118480982114
frozenset({'sugar'}),frozenset({'bottled water'}),0.01771035220209851,0.06068301811134131,0.0014702933903628951,0.0830188679245283,1.368074141800349,1.0,0.00039557576692471775,1.0243580255164384,0.2738962629423916,0.019113814074717635,0.023778820402327778,0.05362397140719807
frozenset({'bottled water'}),frozenset({'sugar'}),0.06068301811134131,0.01771035220209851,0.0014702933903628951,0.024229074889867842,1.368074141800349,1.0,0.00039557576692471775,1.006680587133741,0.2864267003007664,0.019113814074717635,0.006636253066886142,0.05362397140719807
frozenset({'white bread'}),frozenset({'canned beer'}),0.023992514870012697,0.04691572545612511,0.0015371249081066632,0.06406685236768803,1.3655730939853503,1.0,0.0004114986674631483,1.0183251623846759,0.27428756862324805,0.022157996146435453,0.01799539386983493,0.048415192565610395
frozenset({'canned beer'}),frozenset({'white bread'}),0.04691572545612511,0.023992514870012697,0.0015371249081066632,0.03276353276353276,1.3655730939853503,1.0,0.0004114986674631483,1.0090681215924169,0.28088462605524955,0.022157996146435453,0.008986629741217526,0.048415192565610395
frozenset({'brown bread'}),frozenset({'canned beer'}),0.03762614448974136,0.04691572545612511,0.0024059346387756467,0.06394316163410303,1.3629366489046777,1.0,0.0006406767739224465,1.0181906006986747,0.27670138888888896,0.02929210740439382,0.01786561444015733,0.057612606458077156
frozenset({'canned beer'}),frozenset({'brown bread'}),0.04691572545612511,0.03762614448974136,0.0024059346387756467,0.05128205128205129,1.3629366489046775,1.0,0.0006406767739224465,1.0143940639162186,0.2793983591613492,0.02929210740439382,0.014189814814814823,0.057612606458077156
frozenset({'chewing gum'}),frozenset({'yogurt'}),0.012029673193878232,0.08587850030074183,0.001403461872619127,0.11666666666666667,1.358508430609598,1.0,0.0003703715796208294,1.0348545279614243,0.2671118369555764,0.01454293628808864,0.033680606326460985,0.06650453955901427
frozenset({'yogurt'}),frozenset({'chewing gum'}),0.08587850030074183,0.012029673193878232,0.001403461872619127,0.016342412451361865,1.3585084306095978,1.0,0.0003703715796208294,1.0043843907799574,0.28869091136966557,0.01454293628808864,0.004365251810168951,0.06650453955901427
"frozenset({'rolls/buns', 'whole milk'})",frozenset({'sausage'}),0.013967787208447505,0.06034886052262247,0.0011361358016440553,0.08133971291866028,1.3478251654506244,1.0,0.0002931957595917866,1.022849417451937,0.2617196532944206,0.015525114155251141,0.022338984665854465,0.05008292401193258
frozenset({'sausage'}),"frozenset({'rolls/buns', 'whole milk'})",0.06034886052262247,0.013967787208447505,0.0011361358016440553,0.018826135105204873,1.3478251654506244,1.0,0.0002931957595917866,1.0049515667615936,0.2746381055978579,0.015525114155251141,0.004927169552608141,0.05008292401193258
"frozenset({'sausage', 'rolls/buns'})",frozenset({'whole milk'}),0.005346521419501437,0.15792287642852368,0.0011361358016440553,0.2125,1.345593525179856,1.0,0.0002917977601896749,1.0693042839002875,0.25821406974400324,0.007007419620774939,0.06481250000000001,0.10984712230215828
frozenset({'whole milk'}),"frozenset({'sausage', 'rolls/buns'})",0.15792287642852368,0.005346521419501437,0.0011361358016440553,0.007194244604316547,1.345593525179856,1.0,0.0002917977601896749,1.0018611124832557,0.30500000000000005,0.007007419620774939,0.001857655178014412,0.10984712230215828
frozenset({'sausage'}),frozenset({'sliced cheese'}),0.06034886052262247,0.014034618726191272,0.0011361358016440553,0.018826135105204873,1.34140695037705,1.0,0.0002891625536489528,1.004883452923532,0.2708601790645134,0.015510948905109486,0.004859720706241477,0.049889258028792904
frozenset({'sliced cheese'}),frozenset({'sausage'}),0.014034618726191272,0.06034886052262247,0.0011361358016440553,0.08095238095238094,1.3414069503770498,1.0,0.0002891625536489528,1.022418338291447,0.25813692927859133,0.015510948905109486,0.021926776400460597,0.049889258028792904
